Conversation,Family,Time,Work,Games,Internet,Location,Fun,Food,Clothes,Health,Books_Movies,Religion,Romance,Swearing,Politics,Music,School,Feeling,Business,Adjective,Follow,Positive,negative,Article,Personal_pronoun,Auxiliary_Verb,Conjunction,Preposition,Male_female,Age_Class
0.013888889,0.083333333,0.041666667,0,0,0,0.041666667,0.041666667,0.055555556,0.027777778,0,0.041666667,0,0.027777778,0.027777778,0,0.055555556,0.041666667,0,0,0.111111111,0,0.111111111,0.027777778,0.027777778,0.083333333,0,0.111111111,0.027777778,0,b
0,0.11875,0.05,0.01875,0,0.0375,0.0125,0.01875,0.00625,0.00625,0,0.00625,0.00625,0.0125,0,0.01875,0.00625,0.075,0,0.03125,0.1,0.01875,0.04375,0,0.08125,0.16875,0,0.075,0.0875,0,b
0,0,0,0,0.1875,0,0,0.1875,0.1875,0,0,0,0.03125,0,0,0,0,0,0,0,0.1875,0,0.03125,0,0.15625,0.03125,0,0,0,0,c
0,0.007092199,0.156028369,0,0.04964539,0,0.007092199,0,0.007092199,0.170212766,0,0,0,0,0,0,0,0.021276596,0,0,0.184397163,0,0.028368794,0,0.184397163,0.04964539,0.014184397,0.042553191,0.078014184,1,c
0.006578947,0.019736842,0.013157895,0,0.013157895,0,0,0,0,0.006578947,0,0.164473684,0.026315789,0.157894737,0,0.019736842,0.006578947,0.164473684,0,0.026315789,0.013157895,0,0.164473684,0,0.092105263,0.032894737,0.019736842,0.032894737,0.019736842,1,c
0,0.022222222,0.022222222,0,0,0.007407407,0.007407407,0.014814815,0.266666667,0.014814815,0,0.022222222,0.014814815,0.022222222,0.007407407,0.007407407,0.007407407,0,0,0.007407407,0.244444444,0.014814815,0,0.007407407,0.081481481,0.088888889,0,0.007407407,0.111111111,0,a
0,0.040816327,0.091836735,0.010204082,0.020408163,0.020408163,0.010204082,0,0.020408163,0,0,0,0.020408163,0.040816327,0.010204082,0.020408163,0.010204082,0.051020408,0,0.051020408,0.12244898,0,0.040816327,0.010204082,0.142857143,0.142857143,0,0.030612245,0.091836735,0,b
0,0.033057851,0.082644628,0,0.024793388,0.016528926,0,0,0.008264463,0.024793388,0,0.033057851,0.033057851,0.016528926,0,0.049586777,0.008264463,0.066115702,0,0,0.107438017,0,0.074380165,0.008264463,0.090909091,0.123966942,0.033057851,0.099173554,0.066115702,0,a
0,0.042372881,0.008474576,0,0,0,0,0,0.033898305,0,0,0,0.025423729,0,0.06779661,0,0,0.033898305,0,0,0.042372881,0,0.211864407,0.06779661,0.008474576,0.118644068,0.008474576,0.13559322,0.194915254,1,b
0,0.012048193,0.277108434,0,0,0,0,0.012048193,0,0,0,0,0.048192771,0,0.024096386,0,0,0.036144578,0,0,0,0,0.036144578,0.024096386,0.036144578,0.265060241,0.180722892,0.012048193,0.036144578,1,b
